article_id,Economy and Business,Politics and Society,Technology and Culture,Sports and Leisure,Opinion and Analysis,created at
69,1.0,0.0,0.0,0.0,0.0,2023-03-10
70,0.0,1.0,0.0,0.0,0.0,2023-03-11
71,0.0,0.0,0.0,1.0,0.0,2023-03-12
72,1.0,0.0,0.0,0.0,0.0,2023-03-13
73,1.0,0.0,0.0,0.0,0.0,2023-03-14
74,0.0,0.0,1.0,0.0,0.0,2023-03-15
75,0.0,0.0,0.0,0.0,1.0,2023-03-16
76,0.0,0.0,0.0,1.0,0.0,2023-03-17
77,0.0,1.0,0.0,0.0,0.0,2023-03-18
78,0.0,0.0,0.0,1.0,0.0,2023-03-19
79,0.0,1.0,0.0,0.0,0.0,2023-03-20
80,0.0,0.0,0.0,0.0,1.0,2023-03-21
81,0.0,1.0,0.0,0.0,0.0,2023-03-22
82,0.0,0.0,1.0,0.0,0.0,2023-03-23
83,0.0,0.0,1.0,0.0,0.0,2023-03-24
84,0.0,0.0,1.0,0.0,0.0,2023-03-25
85,0.0,0.0,1.0,0.0,0.0,2023-03-26
86,0.0,0.0,0.0,1.0,0.0,2023-03-27
87,0.0,0.0,0.0,0.0,1.0,2023-03-28
88,0.0,1.0,0.0,0.0,0.0,2023-03-29
89,0.0,1.0,0.0,0.0,0.0,2023-03-30
90,0.0,0.0,1.0,0.0,0.0,2023-03-31
91,0.0,0.0,1.0,0.0,0.0,2023-04-01
92,1.0,0.0,0.0,0.0,0.0,2023-04-02
93,0.0,0.0,0.0,0.0,1.0,2023-04-03
94,0.0,0.0,0.0,1.0,0.0,2023-04-04
95,0.0,1.0,0.0,0.0,0.0,2023-04-05
96,1.0,0.0,0.0,0.0,0.0,2023-04-06
97,1.0,0.0,0.0,0.0,0.0,2023-04-07
98,0.0,1.0,0.0,0.0,0.0,2023-04-08
99,0.0,0.0,0.0,1.0,0.0,2023-04-09
100,1.0,0.0,0.0,0.0,0.0,2023-04-10
101,0.0,1.0,0.0,0.0,0.0,2023-04-11
